iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,"Feb 11, 2026",,,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,,,,
Shares Outstanding,"47,500,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NVDA,NVIDIA CORP,Information Technology,Equity,"1,243,843,991.25",6.65,"1,243,843,991.25","6,544,825.00",190.05,United States,NASDAQ,USD,1.00,USD,-
AAPL,APPLE INC,Information Technology,Equity,"1,123,174,379.00",6.01,"1,123,174,379.00","4,076,858.00",275.50,United States,NASDAQ,USD,1.00,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"838,645,587.72",4.49,"838,645,587.72","2,073,956.00",404.37,United States,NASDAQ,USD,1.00,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"547,447,661.20",2.93,"547,447,661.20","2,682,515.00",204.08,United States,NASDAQ,USD,1.00,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"505,468,589.60",2.70,"505,468,589.60","1,625,510.00",310.96,United States,NASDAQ,USD,1.00,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"442,666,999.28",2.37,"442,666,999.28","1,291,478.00",342.76,United States,NASDAQ,USD,1.00,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"412,064,246.13",2.20,"412,064,246.13","1,323,561.00",311.33,United States,NASDAQ,USD,1.00,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"408,278,709.85",2.18,"408,278,709.85","610,565.00",668.69,United States,NASDAQ,USD,1.00,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"337,922,589.07",1.81,"337,922,589.07","789,041.00",428.27,United States,NASDAQ,USD,1.00,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"257,895,815.42",1.38,"257,895,815.42","515,771.00",500.02,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"236,120,007.76",1.26,"236,120,007.76","759,668.00",310.82,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
LLY,ELI LILLY,Health Care,Equity,"227,437,496.30",1.22,"227,437,496.30","224,030.00","1,015.21",United States,New York Stock Exchange Inc.,USD,1.00,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"183,630,024.20",0.98,"183,630,024.20","1,180,445.00",155.56,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"162,085,773.56",0.87,"162,085,773.56","672,946.00",240.86,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"156,666,732.80",0.84,"156,666,732.80","1,216,640.00",128.77,United States,NASDAQ,USD,1.00,USD,-
